Week,Treatment,Original ID,Amendment,Exp,Compost,Vermiculite,Innoculum,pH,EC ,Chloride,NO3-N,Al,As,B,Ba,Be,Cd,Co,Cr,Fe,Mn,Mo,Ni,Pb,Se,Tl,V,Zn,Bi,Ca,Li,Mg,P,Sr,K,Si,Na,S,Cu,,,
1,RVB,RVB,RV,Regolith/Vermiculite/Biocrust,None,Vermiculite,Biocrust,8,0.8,96.1,2.57,0.9888,0.1,0.0834,0.0143,0.0007,0.001,0.002,0.003,0.037,0.18,0.0233,0.0027,0.0115,0.045,0.024,0.003,0.006,0.0229,49.18,0.3477,27.87,0.394,0.3774,13.16,11.89,81.66,49.98,0.0179,RVB,Regolith/Vermiculite/Biocrust,
1,RSN,RSN,RS,Regolith/Sterile compost/No addition,Sterile,None,None,6.2,37.9,2502.3,5581.3,0.167,1.059,1.558,2.136,0.0007,0.0168,0.002,0.003,1.226,5.076,0.0017,0.0673,0.2728,0.045,0.024,0.003,0.006,1.032,4607,0.7364,1484,55.52,29.8,3381,38.22,1740,864.2,0.1812,RSN,Regolith/Sterile compost/No addition,
1,RSA,RSA,RS,Regolith/Sterile compost/Algae,Sterile,None,Algae,6.3,24.7,542.5,3627.5,0.167,1.045,1.193,1.249,0.0007,0.0229,0.002,0.003,1.04,3.163,0.0017,0.0558,0.223,0.045,0.024,0.003,0.006,0.7745,2957,0.5435,936.9,38.15,18.78,2247,34.29,1129,576.8,0.1381,RSA,Regolith/Sterile compost/Algae,
1,RSB,RSB,RS,Regolith/Sterile compost/Biocrust,Sterile,None,Biocrust,6.2,29.7,1997.5,4156.2,0.167,0.1,1.396,1.482,0.0007,0.0221,0.002,0.003,1.373,4.199,0.0017,0.0759,0.239,0.045,0.024,0.003,0.006,0.776,3460,0.547,1134,48.53,21.89,2633,37.91,1320,716.7,0.1418,RSB,Regolith/Sterile compost/Biocrust,
1,RCVN,RCVN,RCV,Regolith/Compost/Vermiculite/No addition,Compost,Vermiculite,None,7,9.31,455.9,1060.2,0.167,0.1,0.7281,0.3016,0.0007,0.0089,0.002,0.003,0.3714,1.198,0.0147,0.0395,0.0735,0.045,0.024,0.003,0.006,0.3094,873.8,0.684,414,14.2,5.095,529.8,25.25,460.2,307.7,0.3191,RCVN,Regolith/Compost/Vermiculite/No addition,
1,RCVA,RCVA,RCV,Regolith/Compost/Vermiculite/Algae,Compost,Vermiculite,Algae,7.1,6.33,301.4,706.1,0.4912,0.1,0.5882,0.1807,0.0007,0.0026,0.0052,0.003,0.2623,0.7215,0.0017,0.0176,0.0472,0.045,0.024,0.003,0.006,0.174,583.8,0.439,258.8,12.74,3.347,379.3,23.38,303.5,211.5,0.2113,RCVA,Regolith/Compost/Vermiculite/Algae,
1,RCVB,RCVB,RCV,Regolith/Compost/Vermiculite/Biocrust,Compost,Vermiculite,Biocrust,7.3,3.7,232.7,345.3,0.5326,0.1016,0.4318,0.0967,0.0007,0.0025,0.0068,0.003,0.2993,0.4629,0.0255,0.0111,0.0225,0.045,0.024,0.003,0.006,0.0867,318.2,0.3372,141.4,9.135,1.86,210.5,20.5,195.4,139.4,0.1951,RCVB,Regolith/Compost/Vermiculite/Biocrust,
1,PS,PS,PS,Potting Soil  (name brand Fox Farm),None,None,None,6.4,2.98,110.5,204.3,0.3352,0.1,0.1654,0.0682,0.0007,0.0019,0.0106,0.0065,0.548,1.605,0.0017,0.161,0.0221,0.045,0.024,0.003,0.0768,0.098,290.8,0.1093,176.3,2.946,1.693,156.5,35.41,90.1,307.5,0.0252,PS,Potting Soil  (name brand Fox Farm),
3,Z8 Tap,50% Z8 Tap Water,Z8 Tap,Fertilizer,None,None,None,8.1,0.8,39.7,43.6,0.167,0.1,0.1208,0.0337,0.0007,0.0034,0.0031,0.003,0.3583,0.094,0.0032,0.0036,0.0117,0.045,0.024,0.003,0.006,0.0157,43.22,0.048,8.133,3.418,0.4672,10.03,6.764,98.13,21.03,0.1933,50% Z8 Tap Water,Fertilizer,
3,Tap,SKEEN TAP WATER,Tap,Tap,None,None,None,8.2,0.76,71.1,0.03,0.167,0.1,0.0789,0.068,0.0009,0.001,0.002,0.003,0.037,0.0501,0.0017,0.002,0.0184,0.045,0.024,0.003,0.0106,0.0251,77.31,0.0863,13.88,0.6174,0.9502,6.469,12.46,57.07,38.78,0.3077,SKEEN TAP WATER,,
3,RN,RN,R,Regolith/No addition,None,None,None,8.7,2.72,256.6,9.93,5.579,0.1012,0.4351,0.0316,0.0007,0.0018,0.0165,0.0051,2.904,2.004,0.5217,0.0476,0.0115,0.045,0.024,0.003,0.006,0.0702,229.2,0.0978,91.75,1.498,0.8643,160.2,21.11,248.8,161.9,0.0835,RN,Regolith/No addition,
3,RA,RA,R,Regolith/Algae,None,None,Algae,8.5,2.45,241.3,15.5,18.31,0.1,0.369,0.039,0.0007,0.0022,0.0148,0.0032,2.926,1.966,0.5615,0.0498,0.0083,0.045,0.024,0.003,0.006,0.0823,210.6,0.0852,81.09,1.108,0.7395,106.8,39.3,229.3,142.7,0.1226,RA,Regolith/Algae,
3,RB,RB,R,Regolith/Biocrust,None,None,Biocrust,8.3,2.49,246.8,6.75,6.705,0.1154,0.377,0.0323,0.0007,0.0025,0.0136,0.003,3.454,1.978,0.5685,0.0467,0.0214,0.045,0.024,0.003,0.006,0.0813,207.9,0.0882,82.9,1.069,0.7597,131.2,22.72,231.9,149.9,0.1065,RB,Regolith/Biocrust,
3,RCN,RCN,RC,Regolith/Compost/No addition,Compost,None,None,8.4,2.46,243.7,1.49,2.327,0.1178,0.5241,0.0677,0.0007,0.0031,0.0069,0.003,1.007,0.5004,0.1596,0.0174,0.0183,0.045,0.024,0.003,0.0249,0.0881,245.1,0.1305,89.95,11.1,1.356,258.7,35.63,206.5,143.8,0.0487,RCN,Regolith/Compost/No addition,
3,RCA,RCA,RC,Regolith/Compost/Algae,Compost,None,Algae,8.4,2.47,223.9,1.05,2.933,0.1081,0.4536,0.071,0.0007,0.0019,0.0051,0.003,0.7668,0.4771,0.1365,0.0149,0.0179,0.045,0.024,0.003,0.0204,0.0686,218.9,0.1173,81.51,10.25,1.234,213.6,34.47,188.8,136.3,0.0526,RCA,Regolith/Compost/Algae,
3,RCB,RCB,RC,Regolith/Compost/Biocrust,Compost,None,Biocrust,8.4,2.42,223.2,10.3,3.638,0.1,0.4541,0.0721,0.0007,0.0026,0.0048,0.003,0.9528,0.4853,0.1426,0.0161,0.0154,0.045,0.024,0.003,0.0132,0.0757,215.7,0.1136,78.17,9.865,1.218,218.3,35.08,188.1,132.9,0.0522,RCB,Regolith/Compost/Biocrust,
3,RVN,RVN,RV,Regolith/Vermiculite/No addition,None,Vermiculite,None,8.4,1.4,147.3,6.49,29.79,0.1,0.2014,0.0731,0.0007,0.0021,0.0048,0.003,2.008,0.3881,0.199,0.019,0.007,0.045,0.024,0.003,0.006,0.0509,123.4,0.1818,56.32,1.035,0.9298,58.51,52.1,129.1,84.74,0.2813,RVN,Regolith/Vermiculite/No addition,
3,RVA,RVA,RV,Regolith/Vermiculite/Algae,None,Vermiculite,Algae,8.5,1.95,200.7,19.5,26.44,0.1,0.279,0.0667,0.0007,0.0015,0.0078,0.003,1.608,0.5802,0.3621,0.0285,0.007,0.045,0.024,0.003,0.006,0.0636,138.7,0.2206,87.43,1.407,0.8396,91.85,46.13,174.1,120,0.4174,RVA,Regolith/Vermiculite/Algae,
3,RVB,RVB,RV,Regolith/Vermiculite/Biocrust,None,Vermiculite,Biocrust,8.4,1.25,134.7,1.98,29.32,0.1,0.1615,0.0849,0.0007,0.0016,0.0069,0.003,2.13,0.3577,0.1573,0.017,0.007,0.045,0.024,0.003,0.006,0.0622,125.5,0.1705,50.79,1.242,0.903,48.18,51.97,117.8,75.25,0.2835,RVB,Regolith/Vermiculite/Biocrust,
3,RSN,RSN,RS,Regolith/Sterile compost/No addition,Sterile,None,None,7.7,2.89,232,1.2,8.809,0.1152,0.5511,0.0748,0.0007,0.0029,0.0087,0.003,1.576,0.6769,0.1263,0.0233,0.0144,0.045,0.024,0.003,0.0377,0.0787,269.5,0.1188,95.32,14.27,1.447,286.9,49.17,214.8,131.3,0.0483,RSN,Regolith/Sterile compost/No addition,
3,RSA,RSA,RS,Regolith/Sterile compost/Algae,Sterile,None,Algae,7.7,2.89,233.7,1.33,15.8,0.1345,0.5126,0.0768,0.0007,0.0039,0.009,0.003,1.929,0.5551,0.1151,0.0226,0.0126,0.045,0.024,0.003,0.0774,0.088,256.5,0.1144,85.23,11.88,1.359,291.8,56.43,205.4,135.6,0.0553,RSA,Regolith/Sterile compost/Algae,
3,RSB,RSB,RS,Regolith/Sterile compost/Biocrust,Sterile,None,Biocrust,8.4,3.01,228.7,1.18,5.801,0.1108,0.5056,0.0703,0.0007,0.0024,0.0061,0.003,1.057,0.6337,0.1318,0.0191,0.0118,0.045,0.024,0.003,0.0249,0.0846,272.2,0.1286,98.54,13.59,1.5,275.8,43.4,206.8,123.3,0.046,RSB,Regolith/Sterile compost/Biocrust,
3,RCVN,RCVN,RCV,Regolith/Compost/Vermiculite/No addition,Compost,Vermiculite,None,8.7,2.56,232.7,4.67,7.401,0.101,0.4361,0.0562,0.0007,0.0022,0.0067,0.0033,1.076,0.5919,0.2541,0.0191,0.0105,0.045,0.024,0.003,0.0072,0.0742,217,0.1651,99.87,6.648,1.194,190.7,36.39,210.5,164,0.0791,RCVN,Regolith/Compost/Vermiculite/No addition,
3,RCVA,RCVA,RCV,Regolith/Compost/Vermiculite/Algae,Compost,Vermiculite,Algae,8.2,1.83,180.3,7.59,26.17,0.1115,0.3045,0.0557,0.0007,0.0017,0.0051,0.003,0.8779,0.1683,0.1051,0.0141,0.007,0.045,0.024,0.003,0.0093,0.0544,167.1,0.148,64.63,4.029,0.9264,118.7,56.47,165.8,116.1,0.1477,RCVA,Regolith/Compost/Vermiculite/Algae,
3,RCVB,RCVB,RCV,Regolith/Compost/Vermiculite/Biocrust,Compost,Vermiculite,Biocrust,8.6,1.99,199.1,6.18,13.97,0.1,0.3268,0.0561,0.0007,0.0018,0.0081,0.003,1.482,0.4125,0.2018,0.0169,0.007,0.045,0.024,0.003,0.006,0.0652,181.2,0.1534,74.92,4.346,1.063,143.6,39.53,178.7,129,0.1169,RCVB,Regolith/Compost/Vermiculite/Biocrust,
3,PS,PS,PS,Potting Soil  (name brand Fox Farm),None,None,None,8,2.76,251.1,17,2.161,0.1,0.2448,0.1171,0.0008,0.0028,0.0084,0.0159,3.975,0.3243,0.0198,0.3046,0.02,0.045,0.024,0.003,0.0432,0.0867,224.6,0.1884,132.5,3.009,1.389,136.5,41.19,213.2,366.4,0.1072,PS,Potting Soil  (name brand Fox Farm),
6,Tap,SKEEN TAP WATER,Tap,Tap,None,None,None,8,0.7,72.9,0.03,0.167,0.1,0.0776,0.07,0.0007,0.001,0.002,0.003,0.037,0.023,0.0017,0.0049,0.007,0.045,0.024,0.003,0.006,0.0367,76.58,0.0792,14,0.7428,0.9398,5.753,12.5,56.51,39.35,0.1706,SKEEN TAP WATER,,
6,RN,RN,R,Regolith/No addition,None,None,None,8,1.9,257.9,2.69,8.28,0.1,0.361,0.0261,0.0007,0.0015,0.0064,0.0036,1.971,2.875,0.5745,0.0284,0.007,0.045,0.024,0.003,0.006,0.073,141.2,0.0975,57.12,1.182,0.4534,77.02,25.55,214.3,121.5,0.08,RN,Regolith/No addition,
6,RA,RA,R,Regolith/Algae,None,None,Algae,7.9,1.59,218.4,1.51,15.49,0.1,0.2899,0.0451,0.0007,0.002,0.0069,0.0052,3.541,2.73,0.5317,0.0264,0.007,0.045,0.024,0.003,0.006,0.0661,140.4,0.0853,53.01,1.058,0.4152,55.9,34.62,185.6,96.67,0.0631,RA,Regolith/Algae,
6,RB,RB,R,Regolith/Biocrust,None,None,Biocrust,7.9,1.53,212.9,0.96,6.991,0.1,0.2891,0.03,0.0007,0.001,0.0037,0.003,2.754,2.804,0.4318,0.0233,0.0102,0.045,0.024,0.003,0.006,0.0594,135.1,0.0834,45.45,1.074,0.4657,56.75,23.1,177.7,100.7,0.0657,RB,Regolith/Biocrust,
6,RCN,RCN,RC,Regolith/Compost/No addition,Compost,None,None,8,1.83,221.8,2.16,0.4004,0.1,0.4158,0.0308,0.0007,0.0012,0.0023,0.0049,0.6181,0.3102,0.1728,0.0128,0.0154,0.045,0.024,0.003,0.006,0.0701,152.4,0.1252,58.64,14.77,0.7885,130.2,30.79,169.1,103.2,0.034,RCN,Regolith/Compost/No addition,
6,RCA,RCA,RC,Regolith/Compost/Algae,Compost,None,Algae,7.8,1.96,249.1,1.88,0.4886,0.1,0.4018,0.0361,0.0007,0.0017,0.0027,0.0034,0.4128,0.3109,0.1935,0.012,0.0133,0.045,0.024,0.003,0.006,0.0761,163.1,0.1409,64.82,11.35,0.8693,131.2,29.21,186.4,118.1,0.0364,RCA,Regolith/Compost/Algae,
6,RCB,RCB,RC,Regolith/Compost/Biocrust,Compost,None,Biocrust,8,1.65,205.6,2.8,0.7387,0.1,0.3533,0.0333,0.0007,0.0011,0.0031,0.003,0.4164,0.2298,0.1686,0.0107,0.0154,0.045,0.024,0.003,0.006,0.0669,140.8,0.1081,51.83,10.37,0.7505,111.4,27.18,146.4,95.65,0.0356,RCB,Regolith/Compost/Biocrust,
6,RVN,RVN,RV,Regolith/Vermiculite/No addition,None,Vermiculite,None,8,1.73,240.8,1.53,4.149,0.1,0.2926,0.0499,0.0007,0.0024,0.0043,0.0037,0.6401,0.5545,0.4301,0.0243,0.007,0.045,0.024,0.003,0.006,0.0611,103.3,0.2267,76.57,1.347,0.7665,56.36,22.16,177.4,120,0.3149,RVN,Regolith/Vermiculite/No addition,
6,RVA,RVA,RV,Regolith/Vermiculite/Algae,None,Vermiculite,Algae,8,1.7,247.2,1.09,2.743,0.1,0.3033,0.0482,0.0007,0.001,0.0024,0.0055,0.481,0.3936,0.3953,0.0243,0.0074,0.045,0.024,0.003,0.006,0.0667,103.8,0.2231,78.34,1.248,0.7437,52.55,20.67,185.4,121.8,0.2987,RVA,Regolith/Vermiculite/Algae,
6,RVB,RVB,RV,Regolith/Vermiculite/Biocrust,None,Vermiculite,Biocrust,8.1,1.72,216.6,1.53,3.874,0.1,0.2662,0.0497,0.0007,0.0018,0.002,0.0034,0.5184,0.2344,0.3326,0.0193,0.007,0.045,0.024,0.003,0.006,0.0683,101.5,0.1949,63.89,1.523,0.8295,47.45,21.86,162.3,109.1,0.2761,RVB,Regolith/Vermiculite/Biocrust,
6,RSN,RSN,RS,Regolith/Sterile compost/No addition,Sterile,None,None,8.1,2.03,229.3,8.71,0.3354,0.1,0.4523,0.0314,0.0007,0.001,0.0025,0.0037,0.455,0.3577,0.1728,0.0145,0.0161,0.045,0.024,0.003,0.006,0.0668,159.8,0.1324,63.41,15.34,0.8329,151.2,33.18,180.1,118.8,0.0425,RSN,Regolith/Sterile compost/No addition,
6,RSA,RSA,RS,Regolith/Sterile compost/Algae,Sterile,None,Algae,8,2.14,263.9,4.74,0.3834,0.1,0.4812,0.0305,0.0007,0.0022,0.0037,0.0049,0.4422,0.3438,0.1997,0.0144,0.0071,0.045,0.024,0.003,0.006,0.072,162.3,0.1517,69.22,14.6,0.843,159.7,34.4,198,135,0.0429,RSA,Regolith/Sterile compost/Algae,
6,RSB,RSB,RS,Regolith/Sterile compost/Biocrust,Sterile,None,Biocrust,8.1,1.62,166.7,1.59,0.404,0.1,0.4317,0.0296,0.0007,0.0011,0.0026,0.003,0.3208,0.3342,0.1189,0.0108,0.0165,0.045,0.024,0.003,0.006,0.0462,141.8,0.1111,52.1,14.58,0.74,116.2,28.68,135.1,92.12,0.037,RSB,Regolith/Sterile compost/Biocrust,
6,RCVN,RCVN,RCV,Regolith/Compost/Vermiculite/No addition,Compost,Vermiculite,None,8.1,2.03,273,3.57,2.269,0.1,0.4125,0.0399,0.0007,0.0023,0.0031,0.0029,0.7024,0.3182,0.2843,0.0162,0.007,0.045,0.024,0.003,0.006,0.081,160.2,0.1888,81.94,7.519,0.8952,114.9,29.3,213.2,144,0.0787,RCVN,Regolith/Compost/Vermiculite/No addition,
6,RCVA,RCVA,RCV,Regolith/Compost/Vermiculite/Algae,Compost,Vermiculite,Algae,8.1,2.29,315.9,5.6,5.277,0.1,0.4135,0.0485,0.0007,0.0022,0.0041,0.003,0.6734,0.356,0.2032,0.016,0.0088,0.045,0.024,0.003,0.0147,0.0815,181.2,0.2123,89.54,5.368,1.039,105.1,32.28,249,173,0.1012,RCVA,Regolith/Compost/Vermiculite/Algae,
6,RCVB,RCVB,RCV,Regolith/Compost/Vermiculite/Biocrust,Compost,Vermiculite,Biocrust,8.2,1.98,272.2,5.53,2.136,0.1,0.3633,0.0459,0.0007,0.0014,0.0034,0.0041,0.5182,0.219,0.2239,0.0153,0.0116,0.045,0.024,0.003,0.006,0.0642,154.7,0.1854,76.24,4.877,0.9592,102.2,26.28,202.6,147,0.1113,RCVB,Regolith/Compost/Vermiculite/Biocrust,
6,PS,PS,PS,Potting Soil  (name brand Fox Farm),None,None,None,8,2.04,273.4,16.1,3.004,0.1,0.2358,0.142,0.0007,0.0029,0.011,0.0133,5.056,0.7116,0.039,0.2578,0.0119,0.045,0.024,0.003,0.0814,0.0742,157.5,0.2068,82.02,6.65,0.9913,92.5,26.35,227.4,183,0.0978,PS,Potting Soil  (name brand Fox Farm),
8,Tap,SKEEN TAP WATER,Tap,Tap,None,None,None,7.9,0.73,72.3,0.03,0.167,0.1,0.0789,0.0669,0.0007,0.001,0.002,0.003,0.037,0.0263,0.0017,0.0063,0.0099,0.045,0.024,0.003,0.006,0.0281,77.26,0.0667,14.21,0.7055,0.9238,5.923,12.68,55.78,38.66,0.0954,SKEEN TAP WATER,,
8,RN,RN,R,Regolith/No addition,None,None,None,8,2.22,311.1,2.15,8.851,0.1064,0.3111,0.023,0.0007,0.001,0.006,0.003,1.229,3.386,0.6411,0.0224,0.0162,0.045,0.024,0.003,0.006,0.0402,146.6,0.0855,53.82,0.4477,0.3827,68.31,23.89,234.1,145.1,0.0729,RN,Regolith/No addition,
8,RA,RA,R,Regolith/Algae,None,None,Algae,7.9,1.81,232.2,2.53,9.472,0.1148,0.2423,0.0221,0.0007,0.001,0.0054,0.003,2.561,3,0.4786,0.0172,0.0094,0.045,0.024,0.003,0.006,0.0418,125.9,0.0777,43.61,0.2403,0.3085,43.2,24.37,181.4,108,0.0459,RA,Regolith/Algae,
8,RB,RB,R,Regolith/Biocrust,None,None,Biocrust,8,1.62,219.8,0.63,6.214,0.1,0.2185,0.0172,0.0007,0.0013,0.0038,0.003,0.8539,2.752,0.3734,0.014,0.0102,0.045,0.024,0.003,0.006,0.0385,123.7,0.0478,35.1,0.3215,0.2922,39.24,18.81,167.4,98.3,0.0388,RB,Regolith/Biocrust,
8,RCN,RCN,RC,Regolith/Compost/No addition,Compost,None,None,8,1.69,182.6,4.33,0.5278,0.1129,0.4289,0.0274,0.0007,0.001,0.0022,0.003,0.2868,0.2064,0.1886,0.009,0.013,0.045,0.024,0.003,0.006,0.046,121.6,0.1148,45.04,9.342,0.6236,97.76,26.56,147.2,98.77,0.0346,RCN,Regolith/Compost/No addition,
8,RCA,RCA,RC,Regolith/Compost/Algae,Compost,None,Algae,8,1.64,196.4,4.38,0.3713,0.1013,0.3402,0.0281,0.0007,0.001,0.0022,0.003,0.2966,0.1796,0.1438,0.0098,0.0176,0.045,0.024,0.003,0.006,0.043,117.7,0.1095,44.34,7.243,0.666,83.05,23.35,141.2,92.87,0.04,RCA,Regolith/Compost/Algae,
8,RCB,RCB,RC,Regolith/Compost/Biocrust,Compost,None,Biocrust,8.1,1.23,157.3,4.97,0.2589,0.1048,0.3072,0.0217,0.0007,0.001,0.0023,0.003,0.1294,0.0668,0.1256,0.0073,0.0176,0.045,0.024,0.003,0.006,0.0418,108.1,0.0937,36.58,6.181,0.6095,75.05,21.44,122,90.48,0.0433,RCB,Regolith/Compost/Biocrust,
8,RVN,RVN,RV,Regolith/Vermiculite/No addition,None,Vermiculite,None,8.2,1.83,242.5,1.55,2.268,0.1,0.265,0.0414,0.0007,0.0012,0.0042,0.003,0.3312,0.1769,0.3346,0.0233,0.007,0.045,0.024,0.003,0.006,0.0523,96.63,0.1866,69.8,1.014,0.728,46.91,17.45,185.8,127.3,0.2548,RVN,Regolith/Vermiculite/No addition,
8,RVA,RVA,RV,Regolith/Vermiculite/Algae,None,Vermiculite,Algae,8.1,1.72,238.3,0.62,1.651,0.1,0.2078,0.0384,0.0007,0.001,0.0026,0.003,0.2456,0.2001,0.1933,0.0161,0.0164,0.045,0.024,0.003,0.006,0.0445,88.9,0.1959,64.69,0.6062,0.6674,42.68,15.66,186.2,118.2,0.1953,RVA,Regolith/Vermiculite/Algae,
8,RVB,RVB,RV,Regolith/Vermiculite/Biocrust,None,Vermiculite,Biocrust,8.2,1.65,222.4,2.25,2.052,0.1,0.2419,0.0457,0.0007,0.0012,0.0032,0.003,0.3415,0.076,0.2738,0.0171,0.0114,0.045,0.024,0.003,0.006,0.0527,94.56,0.1753,64.67,1.167,0.7622,41.98,17.47,167.7,116.2,0.2204,RVB,Regolith/Vermiculite/Biocrust,
8,RSN,RSN,RS,Regolith/Sterile compost/No addition,Sterile,None,None,7.9,1.79,171.2,70.8,0.6953,0.1446,0.459,0.0287,0.0007,0.0014,0.0025,0.003,0.3895,0.289,0.1403,0.0101,0.0152,0.045,0.024,0.003,0.006,0.0461,130.3,0.113,46.13,13.42,0.6551,101.7,30.38,141.1,102.4,0.0416,RSN,Regolith/Sterile compost/No addition,
8,RSA,RSA,RS,Regolith/Sterile compost/Algae,Sterile,None,Algae,8.1,1.77,192.9,54.9,0.9025,0.1241,0.4171,0.0272,0.0007,0.0011,0.0056,0.003,0.3523,0.2259,0.1107,0.009,0.0136,0.045,0.024,0.003,0.006,0.055,128.2,0.1198,46.79,11.91,0.6646,94.86,30.02,148.9,102.6,0.0441,RSA,Regolith/Sterile compost/Algae,
8,RSB,RSB,RS,Regolith/Sterile compost/Biocrust,Sterile,None,Biocrust,8.1,1.61,169.2,28.3,0.9246,0.1309,0.3992,0.0264,0.0007,0.001,0.0045,0.003,0.3402,0.2331,0.1081,0.0091,0.0213,0.045,0.024,0.003,0.006,0.0481,120.6,0.1014,42.36,12.2,0.6037,87.83,26.95,124.7,94.31,0.037,RSB,Regolith/Sterile compost/Biocrust,
8,RCVN,RCVN,RCV,Regolith/Compost/Vermiculite/No addition,Compost,Vermiculite,None,8.2,1.94,241.9,6.74,0.807,0.1079,0.3572,0.0308,0.0007,0.0013,0.0035,0.003,0.285,0.131,0.1954,0.0108,0.009,0.045,0.024,0.003,0.006,0.0549,125.2,0.1581,63.56,5.152,0.7523,79.33,23.29,187.9,130.6,0.0658,RCVN,Regolith/Compost/Vermiculite/No addition,
